id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,quote
22837,DIMO,DIMO,dimo,64,2022-12-01T10:19:22.000Z,"distributed-computing, depin",1000000000.0,236901497.36812937,1000000000.0,Polygon,"{'price': 0.16903556770252404, 'volume_24h': 278879.99434077, 'volume_change_24h': 25.633, 'percent_change_1h': -0.26646614, 'percent_change_24h': -3.67525667, 'percent_change_7d': 1.64304395, 'percent_change_30d': 33.7590977, 'percent_change_60d': -4.53761672, 'percent_change_90d': 4.06698649, 'market_cap': 40044779.09719975, 'market_cap_dominance': 0.002, 'fully_diluted_market_cap': 169035567.7, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
7055,DeFi Pulse Index,DPI,defi-pulse-index,44,2020-09-15T00:00:00.000Z,"defi, defi-index",,558983.42579149,558983.42579149,Ethereum,"{'price': 71.38523862753848, 'volume_24h': 209261.86726706, 'volume_change_24h': -4.0992, 'percent_change_1h': -2.18551042, 'percent_change_24h': -1.22456549, 'percent_change_7d': 11.87292449, 'percent_change_30d': 3.33988899, 'percent_change_60d': -24.46106679, 'percent_change_90d': -26.57709289, 'market_cap': 39903165.23896446, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 39903165.24, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
32506,Matr1x,MAX,matr1x,28,2024-08-02T05:10:43.000Z,"gaming, entertainment, hashkey-capital-portfolio, animoca-brands-portfolio, okx-ventures-portfolio",800000000.0,130520000.0,800000000.0,Ethereum,"{'price': 0.3033649247680838, 'volume_24h': 17280954.81099202, 'volume_change_24h': 19.668, 'percent_change_1h': -0.06978643, 'percent_change_24h': -12.23473931, 'percent_change_7d': -19.28845115, 'percent_change_30d': -0.44474363, 'percent_change_60d': 82.38741248, 'percent_change_90d': 82.38741248, 'market_cap': 39595189.980730295, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 242691939.81, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
31504,Ultiverse,ULTI,ultiverse,47,2024-06-03T15:53:14.000Z,"gaming, ethereum-ecosystem, binance-smart-chain",10000000000.0,2240000000.0,10000000000.0,BNB Smart Chain (BEP20),"{'price': 0.017657528710456376, 'volume_24h': 3748699.12062068, 'volume_change_24h': 11.1636, 'percent_change_1h': 1.00760986, 'percent_change_24h': -4.94544575, 'percent_change_7d': -15.78991687, 'percent_change_30d': 3.8093553, 'percent_change_60d': -28.67246399, 'percent_change_90d': -44.74580489, 'market_cap': 39552864.31142228, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 176575287.1, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
8206,QuickSwap [Old],QUICK,quickswap,351,2021-01-07T00:00:00.000Z,"decentralized-exchange-dex-token, defi, yield-farming, amm, polygon-ecosystem, dwf-labs-portfolio",1000000.0,728512.54366923,998446.16644915,Ethereum,"{'price': 54.11465121199371, 'volume_24h': 207969.17504586, 'volume_change_24h': 140.5202, 'percent_change_1h': -1.21490066, 'percent_change_24h': 4.1198957, 'percent_change_7d': 26.43381113, 'percent_change_30d': 75.39763279, 'percent_change_60d': 26.23642812, 'percent_change_90d': 17.19901526, 'market_cap': 39423202.20422272, 'market_cap_dominance': 0.0019, 'fully_diluted_market_cap': 54114651.21, 'tvl': 85563140.67569001, 'last_updated': '2024-09-16T02:25:00.000Z'}"
5821,Aleph.im,ALEPH,aleph-im,57,2020-07-08T00:00:00.000Z,"mineable, cosmos-ecosystem, ai-big-data, distributed-computing, filesharing, storage, avalanche-ecosystem, solana-ecosystem, injective-ecosystem, bnb-chain, ftx-bankruptcy-estate, depin",,247220482.1448135,500000000.0,Ethereum,"{'price': 0.15945428750512033, 'volume_24h': 179031.99687634, 'volume_change_24h': -47.3351, 'percent_change_1h': -0.28091062, 'percent_change_24h': -5.24398896, 'percent_change_7d': 17.45081335, 'percent_change_30d': 23.07973339, 'percent_change_60d': -19.38430586, 'percent_change_90d': -34.32136816, 'market_cap': 39420365.837073565, 'market_cap_dominance': 0.0019, 'fully_diluted_market_cap': 79727143.75, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
10789,Tether EURt,EURt,tether-eurt,99,2021-07-08T00:00:00.000Z,"stablecoin, asset-backed-stablecoin, eur-stablecoin, fiat-stablecoin",,36387340.03,50001660.54,Ethereum,"{'price': 1.0829165195398716, 'volume_24h': 2661133.75741723, 'volume_change_24h': 8.431, 'percent_change_1h': 0.00156881, 'percent_change_24h': -0.64712521, 'percent_change_7d': 0.02488438, 'percent_change_30d': 2.30084515, 'percent_change_60d': 1.42263912, 'percent_change_90d': 3.5574757, 'market_cap': 39404451.620601445, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 54147624.2, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
2570,Viction,VIC,viction,133,2018-03-08T00:00:00.000Z,"platform, alameda-research-portfolio, dwf-labs-portfolio",,96830754.0,100000000.0,N/A,"{'price': 0.4039979882021265, 'volume_24h': 3639708.82317883, 'volume_change_24h': -30.4923, 'percent_change_1h': -0.53087953, 'percent_change_24h': -5.43595612, 'percent_change_7d': -3.59636178, 'percent_change_30d': 26.5365478, 'percent_change_60d': 3.34265134, 'percent_change_90d': 13.02957825, 'market_cap': 39119429.812095016, 'market_cap_dominance': 0.0019, 'fully_diluted_market_cap': 40399798.82, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
24477,ArbDoge AI,AIDOGE,arbdoge-ai,80,2023-04-17T06:07:36.000Z,"memes, doggone-doggerel, arbitrum-ecosytem, dwf-labs-portfolio",,1.74455896934211e+17,1.91609763385755e+17,Arbitrum,"{'price': 2.24185327799355e-10, 'volume_24h': 3824249.80112249, 'volume_change_24h': -9.2965, 'percent_change_1h': -1.83593597, 'percent_change_24h': -7.31263026, 'percent_change_7d': -2.21241982, 'percent_change_30d': -4.20759114, 'percent_change_60d': -34.23361361, 'percent_change_90d': -29.87520988, 'market_cap': 39110452.440726586, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 42956097.61, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
19966,Quickswap [New],QUICK,quickswap-new,174,2022-05-05T05:41:26.000Z,dwf-labs-portfolio,1000000000.0,728512543.6692327,998446166.4491485,Ethereum,"{'price': 0.053499556849834075, 'volume_24h': 39478315.38434665, 'volume_change_24h': 163.2047, 'percent_change_1h': -1.35448891, 'percent_change_24h': 3.00173553, 'percent_change_7d': 30.17343276, 'percent_change_30d': 98.43522116, 'percent_change_60d': 29.89524533, 'percent_change_90d': 23.64958928, 'market_cap': 38975098.24584935, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 53499556.85, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
11213,Star Atlas DAO,POLIS,star-atlas-polis,58,2021-08-11T00:00:00.000Z,"collectibles-nfts, gaming, solana-ecosystem, metaverse, petrock-capital-portfolio, play-to-earn",,262062987.5174,360000000.0,Solana,"{'price': 0.1486123621914482, 'volume_24h': 286730.20426815, 'volume_change_24h': -5.4758, 'percent_change_1h': -0.58774698, 'percent_change_24h': -3.55191481, 'percent_change_7d': 4.54803946, 'percent_change_30d': 29.5101739, 'percent_change_60d': 12.25238309, 'percent_change_90d': 4.42967109, 'market_cap': 38945799.61790881, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 53500450.39, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
12041,Dimitra,DMTR,dimitra,24,2021-09-21T22:52:25.000Z,"ai-big-data, distributed-computing, depin",,486503181.51344335,527018673.0,Ethereum,"{'price': 0.07979364249060342, 'volume_24h': 296533.71467322, 'volume_change_24h': -55.9476, 'percent_change_1h': -0.07238129, 'percent_change_24h': -8.44342653, 'percent_change_7d': 27.76313901, 'percent_change_30d': 21.75258638, 'percent_change_60d': -4.98258356, 'percent_change_90d': -22.86240418, 'market_cap': 38819860.93622484, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 42052739.58, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
1552,Enzyme,MLN,enzyme,102,2017-02-21T00:00:00.000Z,"asset-management, defi, kenetic-capital-portfolio, placeholder-ventures-portfolio",2669203.38190352,2667637.90458319,2668257.52025511,Ethereum,"{'price': 14.478983432436936, 'volume_24h': 1698179.34065249, 'volume_change_24h': 37.9156, 'percent_change_1h': -0.39637626, 'percent_change_24h': -5.91643283, 'percent_change_7d': -3.8333275, 'percent_change_30d': -12.85364066, 'percent_change_60d': -26.33945393, 'percent_change_90d': -13.24821361, 'market_cap': 38624685.02420079, 'market_cap_dominance': 0.0019, 'fully_diluted_market_cap': 38647351.54, 'tvl': 108161391.70816, 'last_updated': '2024-09-16T02:24:00.000Z'}"
6928,Bella Protocol,BEL,bella-protocol,150,2020-09-07T00:00:00.000Z,"defi, ethereum-ecosystem, yield-aggregator, binance-launchpool, chromia-ecosystem, polygon-ecosystem, bnb-chain, dwf-labs-portfolio",,72274376.0,100000000.0,Ethereum,"{'price': 0.5313470504300297, 'volume_24h': 3362267.16262628, 'volume_change_24h': 25.1531, 'percent_change_1h': -0.53932757, 'percent_change_24h': -4.84716896, 'percent_change_7d': 8.11209306, 'percent_change_30d': 34.89242175, 'percent_change_60d': -6.53465349, 'percent_change_90d': -4.05738352, 'market_cap': 38402776.50927093, 'market_cap_dominance': 0.0019, 'fully_diluted_market_cap': 53134705.04, 'tvl': 4014208.69836, 'last_updated': '2024-09-16T02:24:00.000Z'}"
32854,Self Chain,SLF,self-chain,33,2024-08-30T07:47:08.000Z,,,97000000.0,336000000.0,N/A,"{'price': 0.39608768009933415, 'volume_24h': 7472407.27118905, 'volume_change_24h': -54.7252, 'percent_change_1h': -0.64262129, 'percent_change_24h': -7.40650726, 'percent_change_7d': -9.55957184, 'percent_change_30d': -45.63028743, 'percent_change_60d': -45.63028743, 'percent_change_90d': -45.63028743, 'market_cap': 38420504.96963541, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 133085460.51, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
6950,Perpetual Protocol,PERP,perpetual-protocol,202,2020-09-08T00:00:00.000Z,"decentralized-exchange-dex-token, defi, derivatives, scaling, amm, three-arrows-capital-portfolio, cms-holdings-portfolio, alameda-research-portfolio, multicoin-capital-portfolio, arbitrum-ecosytem, optimism-ecosystem",,66002156.95,150000000.0,Ethereum,"{'price': 0.5798369384024936, 'volume_24h': 4538710.28981729, 'volume_change_24h': -6.9858, 'percent_change_1h': -0.7348967, 'percent_change_24h': -6.14586226, 'percent_change_7d': 5.32573763, 'percent_change_30d': 10.35190216, 'percent_change_60d': -15.55996835, 'percent_change_90d': -19.93426752, 'market_cap': 38270488.613848865, 'market_cap_dominance': 0.0019, 'fully_diluted_market_cap': 86975540.76, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
18679,Onyxcoin,XCN,onyxcoin,88,2022-03-09T16:10:43.000Z,,48402437326.0,29469583243.0,48402437326.0,Ethereum,"{'price': 0.0012727151747247234, 'volume_24h': 2204182.83592837, 'volume_change_24h': -14.6583, 'percent_change_1h': -1.13275177, 'percent_change_24h': -3.38552565, 'percent_change_7d': -0.98048739, 'percent_change_30d': -4.50168019, 'percent_change_60d': -20.01491726, 'percent_change_90d': -18.69018394, 'market_cap': 37506385.78617953, 'market_cap_dominance': 0.0018, 'fully_diluted_market_cap': 61602516.48, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
5866,DEXTools,DEXT,dextools,39,2020-07-19T00:00:00.000Z,analytics,200000000.0,84757959.4461969,127551255.0,Ethereum,"{'price': 0.4420121542389156, 'volume_24h': 37848.00955654, 'volume_change_24h': 0.0564, 'percent_change_1h': -0.34675223, 'percent_change_24h': -3.9300942, 'percent_change_7d': 6.68102539, 'percent_change_30d': -6.65259561, 'percent_change_60d': -19.11805711, 'percent_change_90d': -33.43431693, 'market_cap': 37464048.24370813, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 88402430.85, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
22620,Across Protocol,ACX,across-protocol,35,2022-11-09T23:45:27.000Z,"optimism-ecosystem, intent",1000000000.0,138063734.0,1000000000.0,Ethereum,"{'price': 0.27110246173532293, 'volume_24h': 297082.65757473, 'volume_change_24h': -11.1266, 'percent_change_1h': -0.66768533, 'percent_change_24h': -7.37032126, 'percent_change_7d': -1.72934783, 'percent_change_30d': -30.37887098, 'percent_change_60d': -37.8877222, 'percent_change_90d': -24.14566829, 'market_cap': 37429418.1637708, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 271102461.74, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
2143,Streamr,DATA,streamr,125,2017-11-03T00:00:00.000Z,"platform, ai-big-data, distributed-computing, filesharing, iot, fabric-ventures-portfolio, web3, depin",,1063403853.0,1125323352.0,Ethereum,"{'price': 0.03495605798622265, 'volume_24h': 3701734.7749545, 'volume_change_24h': 18.2943, 'percent_change_1h': -0.96512461, 'percent_change_24h': -9.25690606, 'percent_change_7d': -3.31082052, 'percent_change_30d': 32.36781527, 'percent_change_60d': -13.01360641, 'percent_change_90d': -23.51082012, 'market_cap': 37172406.74824059, 'market_cap_dominance': 0.0018, 'fully_diluted_market_cap': 39336868.35, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
7463,RAMP,RAMP,ramp,66,2020-10-21T00:00:00.000Z,"defi, solana-ecosystem, lending-borowing, arrington-xrp-capital-portfolio, alameda-research-portfolio, parafi-capital, exnetwork-capital-portfolio, injective-ecosystem, bnb-chain",1000000000.0,477838740.4150985,1000000000.0,Ethereum,"{'price': 0.07752220389698997, 'volume_24h': 3943.73840828, 'volume_change_24h': 1360.7018, 'percent_change_1h': -0.59465604, 'percent_change_24h': -4.81572301, 'percent_change_7d': -4.89761626, 'percent_change_30d': -10.13933848, 'percent_change_60d': -29.96118145, 'percent_change_90d': -42.17353475, 'market_cap': 37043112.264340125, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 77522203.9, 'tvl': 150977.15233, 'last_updated': '2024-09-16T02:24:00.000Z'}"
